title,price,location,description,bedrooms,bathrooms,floor_area,land_size,property_type,subcategories,listing_url,listing_id,geo_location,car_spaces,classification,subdivision_name
474 sqm Corner Lot with Old house in New Manila for Sale (Near St. Lukes QC),71100000,"New Manila, Quezon City","Total Lot Area:                             474 sqm;
Frontage Along Sta. Ignatia St.: 26.94 m;
Frontage Along 18th St:              17.22m;
Facing along Sta Ignatia:             SouthWest;
Ownership:                                   Individual Owned
Flooding:                                        None
Land Classification:                      Residential
TCT Condition:                              Clean
Location:                                        50m away from St. Lukes QC Medical Center

BUYER’S ACCOUNT :  Registration Cost, Transfer Fees, Documentary Stamps, notarial               
                                      expenses and necessary expenses to transfer title
SELLER’S ACCOUNT :  6% CGT, Real estate taxes , Broker’s commission, and removal of all 
                                       annotations included in the MEMORANDUM OF ENCUMBRANCES
                                       section of the TCT.

For inquiries, feel free to text/call 09176272435/Viber.
Gary Guiang, PRC REBL 0010981",5,6,400,474,,"house, single-family-house",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/474-sqm-corner-lot-with-old-house-in-new-manila-fo-173200403714/,HO673C3A1B09DFDPH,"[121.0306,14.61633]",N/A,N/A,N/A
4 Bedroom w/Mezzanine for Sale in Quezon City,8900000,"Santa Monica, Quezon City","The Villa Verde is an exclusive subdivision development along Commonwewalth Ave., Extention corner Quirino Hi-Way Sta. Monica Quezon City neighboring the top shops, banks, and schools.

We Offer:

  Space - offers larger space home with yards, giving privacy and outdoor space
  Low as 10% Down Payment to move-In
  Parking - does not need to buy another property for parking space
  Affordable home owners monthly dues



This townhouse is upgraded fully fitted finishing design.
✅ 4 Bedroom with built-in closet
✅ 2 Mezzanine
✅ 4 Toilet and Bath
✅ Atrium / Interior Garden
✅ 1 Car Garage
✅ 2 Balcony
✅ Service area

Features and Amenities
24hrs Security
Covered Basketball Court

Service Providers

  Water - Manila Waters
  Electricity - Meralco
  Landline - depends on the home owner
  Cable - depends on the home owner
  Internet - depends on the owner



Nearby Location

  S&R - 0.5km
  Nova Wet Market - 0.2km
  Commonwealth Hospital - 3.2km
  SM City Mall Fairview - 2.8km
  NLEX - Mindanao Avenue Link Inter-provincial Tollway 95,
  Valenzuela, Metro Manila - 16.00km



Bank Financing:
Selling Price: Php 8,900,000.
1st 10% Down Payment : Php 890,000.00 (move-in)
2nd 10% Down Payment : Php 890,000
payable in 12 months no interest : Php 74,166. / monthly
80% Balance : Php 7,120,000.
Bank Estimates
20 years : Php 57,358.
15 years : Php 66,003.
10 years : Php 84,515.
5 years : Php 142,670.

Requirements:
✅ Valid Government Issued ID
✅PDCs


INQUIRE NOW AND GET PRE-APPROVAL ✨",4,4,160,80,,"house, townhouse",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/4-bedroom-w-mezzanine-for-sale-in-quezon-city-173096495966/,HO672C6DDF20076PH,"[121.0449,14.72235]",N/A,446,Villa Verde
5 Bedroom Semi-furnished Townhouse for Sale in New Manila Quezon City,64000000,"New Manila, Quezon City",House and Lot for Sale in New Manila Quezon City  4 Storey Townhouse  Lot Area: 135 (inclusive of common driveway) Flr Area: approx 420sqm 2-3 Car Garage  Gated - with Security  4 Bedroom with T/B Maids room with T/B Masters with Walk in closet and European brand Bath Tub Shower Enclosures included Bravat Fixtures  Franke Appliances  Kohler Faucets  Philips Led Lights and devices Modular Kitchen Cabinets with Quartz countertops  Teka Spain sinks  Scheneider (EU) Breakers  SAER (Italy) Booster Pump Makita (Japan) Sump Pump Intercom to Security  Near Jubilee Christian Academy Near Robinsons Magnolia  Near St Luke's Medical Center QC  Price: 64M to 65.5M Cash or Bank Financing  FOR VIEWING SCHEDULE CONTACT:,5,2,420,135,,"house, townhouse",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/5-bedroom-semi-furnished-townhouse-for-sale-in-new-173075001490/,HO6729263EE9417PH,"[121.0306,14.61633]",2,,New Manila
"Ultra Modern Abode in Filinvest 1 Batasan Hills, Quezon City",35000000,"Batasan Hills, Quezon City","Ultra Modern Abode in Filinvest 1 Batasan Hills, Quezon City  Status: Preowned; Ready for Occupancy Property Details: Lot Area: 300 sqm Floor Area: Approx. 302 sqm Layout: Open Plan Design --- Ground Floor (G/F): - Open Kitchen with Breakfast Counter - Elevated Main Dining Area - High-Ceiling Open Living Room - Guest Bedroom with Toilet and Bath / Powder Room - Service Kitchen - Utility/Laundry Room with Built-In Storage Cabinets - Maid’s Room with Toilet and Bath - Driver’s Room with Adjoining Toilet and Bath - Storage Shed - 3-Car Garage - Herb and Bamboo Garden --- Second Floor (2/F): - Open Loft / Family Room - Master’s Bedroom with Toilet and Bath (and Bathtub) - 2 Bedrooms, with Toilet and Bath - Open Deck Perfect for Parties and Gatherings --- Third Floor (3/F): - Open Deck for Water Tank (Expandable for Additional Living Quarters)  Selling Price: ₱35,000,000.00  *Subject to bank appraisal, required downpayment may vary depending on the bank approval. *Miscellaneous and transfer of title fees are not yet included in the selling price   Ready to turn your dream home into reality? Let’s talk! Contact details: - East Side Estate PH   Camille Almarinez Property Specialist Under PRC No. 0026430  Office Address: Flair Realty, Co. 3F Unit 303 C&B Circle Mall L Sumulong Memorial Circle Hway San Roque, Antipolo City",4,3,302,300,,"house, single-family-house",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/ultra-modern-abode-in-filinvest-1-batasan-hills-qu-173086424942/,HO672AE4795D814PH,"[121.096563,14.681641]",3,447,Filinvest 1 Subdivision
Modern house for sale Loyola Grand Villas,125000000,"Matandang Balara, Quezon City","Modern house for sale Loyola Grand Villas
Lot area: 600 sqm
Floor area: 500 sqm. more or less
2 stry
5 bedroom bedroom with individual Toilet and bath
Guest room with toilet and bath
Office
Family room
Modern kitchen
Utility kitchen
Outdoor kitchen
Laundry area
Maids room with T&b
Jacuzzi/ sauna
Swimming pool
4 car garage
Selling Price : Php 125,000,000

For Inquiries and viewing schedule",6,6,500,600,,"house, single-family-house",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/modern-house-for-sale-loyola-grand-villas-17305340550/,HO6725DAA73FF1APH,"[121.082236,14.665648]",N/A,N/A,Loyola Grand Villas
3 BR House and Lot Unit for Sale at Meadows Heights in Quezon City (SA),7489500,"Bagong Silangan, Quezon City","Experience effortless living at Meadows Heights Residences, where you'll find the privacy, comfort, and functionality you've always envisioned for your home in Quezon City.  Crafted for burgeoning families and young professionals, Meadows Heights Residences offers amenities tailored to elevate residents' comfort and leisure, enhancing their overall well-being amidst the vibrant ambiance of its surroundings. Nestled within a captivating scenic view, the neighborhood exudes a lifestyle characterized by comfort and style.  It transcends the concept of mere housing; it epitomizes a way of life that surpasses the ordinary, embodying the ideal lifestyle for its inhabitants. Positioned in one of Quezon City's most convenient locales, residents can leisurely explore the neighborhood, indulging in nearby parks, shopping centers, and dining establishments.  Meadows Heights Residences Amenities:  Guardhouse 24/7 CCTV Underground facilities for electricity and telephone lines   Meadows Heights Residences Location: The value of a house and lot in Bagong Silangan, Metro Manila, is influenced by several factors, with the property's precise location being paramount. A house and lot for sale in Quezon City, Metro Manila, situated close to essential amenities such as hospitals, schools, and shopping centers, holds significant appeal to prospective buyers due to its convenience for a comfortable and enriching lifestyle.  Nearby Establishments:  University of the Philippines Diliman Ateneo de Manila University St. Peter Parish Diliman Doctors Hospital New Era General Hospital East Avenue Medical Center Quezon City Hall Ever Gotesco Commonwealth UP-Ayala Land TechnoHub SM North EDSA TriNoma   City of Quezon City: Located in the northern part of Metro Manila, Quezon City is renowned as the capital’s entertainment hub. Notably, it hosts the country’s major television networks, ABS-CBN Corporation and GMA Network, Inc. Due to its substantial size, the city thrives as an industrial and commercial epicenter.  As the largest component city in the National Capital Region, Quezon City spans 166 square kilometers and stands as the most populous, with over 2.8 million residents recorded as of 2010. Anticipated growth in the coming years is evident, fueled by ongoing development projects converting substantial city areas into new business districts and residential zones. Consequently, prospective property buyers will discover a plethora of high-quality condominium units and houses for sale across various price ranges, making Quezon City an attractive real estate investment destination.  Reservation fee: Php 20,000 Financing/Payment Terms: Bank",3,2,104,72,,"house, single-family-house",https://www.lamudi.com.phhttps://www.lamudi.com.ph/new-developments/meadows-heights-residences/3-br-house-and-lot-unit-for-sale-at-meadows-height-17120303239/,HO660B82733C9F1PH,"[121.109668,14.703588]",N/A,N/A,Meadows Heights Residences
3 Bedroom Townhouse Unit for Sale in Amaia Series Novaliches in Quezon City,7500000,"Novaliches, Quezon City","Amaia Series Novaliches - Amenities  Entrance Pocket Park Village Signage Swimming Pool Village Patio  Enjoy comfortable living spaces with the 4 and 6-Series townhouse models. Relish the suburban lifestyle with its features and amenities. Take a splash in the swimming pool, play hoops in the basketball court, relax in the landscaped garden or celebrate life’s journey at the village pavilion.  Various financing schemes and payment options are available making it easy on the pocket. Feel safe knowing that our community is managed by Ayala Property Management Corporation.",3,2,61,161,,"house, single-family-house",https://www.lamudi.com.phhttps://www.lamudi.com.ph/new-developments/amaia-series-novaliches-1/3-bedroom-townhouse-unit-for-sale-in-amaia-series-171868178121/,HO602F2224DC91DPH,"[121.0521,14.7214]",N/A,N/A,Amaia Series Novaliches
3 Bedroom Townhouse for Sale at The Regina Townhouse in Quezon City,6718000,"Fairview, Quezon City","A captivating residence featuring three well-appointed bedrooms, a welcoming foyer, a generously-sized living room, and a practical kitchen alongside a maid's utility room. The property includes four fully equipped toilets and baths, complete with fixtures and a luxurious rain shower in the master bath. Additionally, it offers space for two car parks, allowing you to accommodate your preferred choice of the latest vehicle models. Convenient outlets for internet, cable TV, and landline phone are readily available, with the option for a satellite dish provision if desired.  The Regina Townhouse Features:  Provision for CCTV. Cable TV, Telephone and Internet (Fiber Ready). With CCTV for Common Area and Electronically Sliding Main Gate with Individual Remote Control. Intercom (Audio/Video) Phone with Access Control to Pedestrian Gate.   The Regina Townhouse Location: Strategically positioned for maximum convenience, you won't need to venture far for anything you need. From hospitals and schools to restaurants, commercial establishments, and retail outlets, everything is within easy reach. Malls and financial institutions are just a stone's throw away, ensuring accessibility at every turn.   A new landmark is set to grace AMOR Street within Hilltop Subdivision, Lagro, Quezon City. It aims to establish a community nestled within a tranquil and secure neighborhood characterized by amiable residents. Conveniently accessible via the main thoroughfares of Commonwealth and Regalado Avenues, traveling to various destinations is effortless, thanks to different modes of public transportation and the forthcoming MRT7. Private and public educational institutions, places of worship, medical centers, fast-food outlets, dining establishments, home décor stores, and other essentials are conveniently located within a 2-5 kilometer radius. Moreover, leisure and lifestyle malls such as Ayala Terraces, SM Fairview, and Robinson's, along with popular fast-food chains like Jollibee, McDonald's, and Burger King, are just a few of the amenities that are easily within reach.   Located in the northern part of Metro Manila, Quezon City is widely regarded as the entertainment hub of the capital. It is home to the country's two major television networks, ABS-CBN Corporation and GMA Network, Inc. Due to its vast expanse, the city thrives as an industrial and commercial center.  DHSUD LS No. 315 Financing/Payment Terms: Bank Monthly Amortization: Php 36,420",3,2,108.8,53,,"house, townhouse",https://www.lamudi.com.phhttps://www.lamudi.com.ph/new-developments/the-regina-townhouse/3-bedroom-townhouse-for-sale-at-the-regina-townhou-171049389888/,HO65F410CA72545PH,"[121.06821,14.702178]",N/A,,The Regina Townhouse
3 Bedroom Townhouse for Sale in Quezon City at 18 EDSA Congressional,21300000,"Project 8, Quezon City","Crafted with budding families and young professionals in mind, 18 EDSA Congressional by Metrosummit Realty offers amenities tailored to provide comfort and leisure, enhancing residents' well-being while immersing them in the vibrant energy of its location. The neighborhood is embraced by captivating scenic vistas, offering a lifestyle that seamlessly blends comfort and style.  18 EDSA Congressional House Specification: (Townhouse)  3 Bedrooms 3 Toilets & Bath 3 Floors   18 EDSA Congressional Amenities: Additionally, secured parking spaces are available within the vicinity. The residential area is equipped with 24-hour security and CCTV systems, ensuring a tranquil community where residents can live worry-free. Other notable features of the development include garage facilities.  18 EDSA Congressional Location: It surpasses mere accommodation; it embodies a lifestyle that transcends the ordinary, reflecting the ideal living standards of its residents. Situated in one of Quezon City's most convenient areas, residents can leisurely explore the neighborhood, with parks, shopping centers, and restaurants conveniently nearby for their enjoyment.  City of Quezon City: Nestled in the northern part of Metro Manila, Quezon City is often dubbed as the capital's entertainment hub. Notably, the city hosts the headquarters of the Philippines' two major television networks—ABS-CBN Corporation and GMA Network, Inc. Moreover, owing to its vast expanse, Quezon City thrives as a bustling industrial and commercial center.  As the largest component city in the National Capital Region, Quezon City boasts a sprawling land area of 166 square kilometers. With a population exceeding 2.8 million residents as of 2010, it holds the title of being the most populous city. This figure is anticipated to rise in the coming years, with significant portions of the city undergoing development into new business districts and residential areas.  Payment Scheme (For Pre-selling Units) 1) 50% Down Payment 2) 50% Cash or Bank Loan Staggered payment until target dates upon turnover  Project Address: #18 Inner Seminary Road, Pugad Lawin, Project 8, Quezon City, Metro Manila Target Turnover Date: March 2024",3,3,270,88.2,,"house, townhouse",https://www.lamudi.com.phhttps://www.lamudi.com.ph/new-developments/18-edsa-congressional/3-bedroom-townhouse-for-sale-in-quezon-city-at-18-170989194352/,HO65EAE1675151DPH,"[121.0245,14.66958]",N/A,N/A,18 EDSA Congressional
"3 Bedroom Townhouse for Sale in Doña Sotera St. Quezon City, Metro Manila",20100000,"Tandang Sora, Quezon City","Every Pinoy’s dream home come true, our 36-unit townhouse in Dona Sotera speaks of simple elegance and comfort. Conveniently located in a peaceful yet accessible neighborhood, families can enjoy rest and relaxation in a home which offers all the essential features including 3 floors of wide floor area, a car garage, and 24/7 security.  Unit Specifications: - Compound type Houses made of Grade 60 rebars - Full elegant lights - Breaker - Individual Septic Tank - Cistern and Main Solid Steel Hign-Fence Gate - Narra Floors - Guard House with CR and CCTV Cameras - E-home and Solar Panel.",3,4,253,94,,"house, townhouse",https://www.lamudi.com.phhttps://www.lamudi.com.ph/new-developments/dona-sotera/3-bedroom-townhouse-for-sale-in-do-a-sotera-st-que-170989113665/,HO603DE1005A699PH,"[121.042788,14.6820013]",N/A,N/A,Doña Sotera
