title,location,price,price_per_sqm,url,listing_id,bedrooms,bathrooms,floor_area,floor,name,latitude,longitude,address,facilities,Internet,Car park,Balcony,Electricity,Panoramic view,Terrace,Water,Cistern,Air conditioning,Security,Built-in kitchen,Equipped kitchen,Utility room,Video cable,Access for the disabled,Alarm,Built-in wardrobe,Elevator,Swimming pool,Gym,Garden,Children's area,Concierge,Library,Tennis court,Sauna,Roof garden,Patio,Heating,Fireplace,Cellar,Grill,Guardhouse,Hot Tub,Natural gas,Office
,"Quezon City, Metro Manila","₱ 10,500,000","(₱ 19,091 / m2)",https://www.dotproperty.com.ph/ads/11-bedroom-apartment-for-sale-in-novaliches-proper-metro-manila_43eb62e9684d-70ee-8662-3adc-6a086089,Rays SB,11,11,550 m2,3,"11 Bedroom Apartment for sale in Novaliches Proper, Metro Manila",14.7220913,121.0394115,"San Bartolome, Novaliches Wet and Dry Public Market, Susano Road, Novaliches, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Internet', 'Car park', 'Balcony', 'Electricity', 'Panoramic view', 'Terrace', 'Water', 'Cistern']",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 49,911,000","(₱ 311,944 / m2)",https://www.dotproperty.com.ph/2-bedroom-apartment-for-sale-in-ugong-norte-metro-manila_7972802,2BR Horizon Suite at Parklinks North Tower,2,2,160 m2,35,"2 Bedroom Apartment for sale in Ugong Norte, Metro Manila",14.5978391,121.0802472,"Parklinks North Tower, Parklinks, Eulogio Rodriguez Jr. Avenue, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Concierge', 'Library', 'Elevator', 'Water', 'Alarm', 'Access for the disabled', 'Built-in kitchen', 'Utility room']",1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 11,000,000","(₱ 122,222 / m2)",https://www.dotproperty.com.ph/commercial-for-sale-in-pinyahan-metro-manila_5851535,"2 storey Newly Renovated Apartment for Sale in Brgy. Manresa, QC",3,2,90 m2,2,"3 Bedroom Apartment for sale in Manresa, Metro Manila",14.6401606,121.000537,"Manresa, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Internet', 'Car park', 'Electricity', 'Water', 'Built-in kitchen', 'Video cable', 'Cistern']",1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 34,858,500","(₱ 85,000 / m2)",https://www.dotproperty.com.ph/ads/8-bedroom-apartment-for-sale-in-project-6-metro-manila_87832ef0227b-e59e-e512-a2bf-cfd98089,001-SA,8,8,410.1 m2,1,"8 Bedroom Apartment for sale in Project 6, Metro Manila",14.66026016,121.04056656,"Road 8, Project 6, Quezon City, Metro Manila, National Capital Region, PHL",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 10,000,000","(₱ 18,182 / m2)",https://www.dotproperty.com.ph/ads/11-bedroom-apartment-for-sale-in-san-bartolome-metro-manila_576ea0ece1e4-b91e-b502-44c9-a1696089,ray_com,11,11,550 m2,550,"11 Bedroom Apartment for sale in San Bartolome, Metro Manila",14.7043235,121.0306432,"San Bartolome, QC, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 8,000,000","(₱ 41,885 / m2)",https://www.dotproperty.com.ph/ads/6-bedroom-apartment-for-sale-in-nagkaisang-nayon-metro-manila_8d2e823b3d99-ee41-b9c5-5875-d6a74c9e,House Manila 001,6,6,191 m2,200,"6 Bedroom Apartment for sale in Nagkaisang Nayon, Metro Manila",14.7208711,121.0296067,"Don Enrique Florence Ville, General Luis, Novaliches, Novaliches, Quezon City, Kalakhang Maynila, Pilipinas","['Car park', 'Electricity', 'Water']",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 18,000,000","(₱ 6,000 / m2)",https://www.dotproperty.com.ph/ads/56-bedroom-apartment-for-sale-in-socorro-metro-manila-near-lrt-2-araneta-center-cubao_35aa8d168b1a-279e-0882-0a27-c4c57089,01924d5d-27f9-7119-b027-f8e138c1ff46,56,56,"3,000 m2",,"56 Bedroom Apartment for sale in Socorro, Metro Manila near LRT-2 Araneta Center-Cubao",14.6192831,121.0577149,"Cubao, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Security', 'Car park', 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Elevator', 'Alarm', 'Built-in wardrobe', 'Built-in kitchen', 'Utility room', 'Cistern']",0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 2,100,000","(₱ 105,000 / m2)",https://www.dotproperty.com.ph/ads/1-bedroom-apartment-for-sale-in-bagbag-metro-manila_80f0c6f3f1c9-22b0-9772-99fb-4b936089,TG-SM612,1,1,20 m2,,"1 Bedroom Apartment for sale in Bagbag, Metro Manila",14.6992035,121.0225798,"El Pueblo One Condominium, King Christian Extension, Novaliches, Quezon City, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Electricity', 'Water', 'Built-in kitchen']",0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 2,750,551",,https://www.dotproperty.com.ph/ads/apartment-for-sale-in-univ-phil-campus-metro-manila_4212bbe26a01-9141-cbf2-9de7-5c267089,allan,,1,,,"Apartment for sale in Univ. Phil. Campus, Metro Manila",14.651512,121.0654679,"Epifanio Delos Santos Street, Diliman, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', 'Tennis court', 'Sauna', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Concierge', 'Library', 'Elevator', 'Roof garden', 'Terrace', 'Water', 'Patio', 'Heating', 'Alarm', 'Fireplace', 'Built-in wardrobe', 'Cellar', 'Access for the disabled', 'Grill', 'Guardhouse', 'Built-in kitchen', 'Hot Tub', 'Natural gas', 'Office', 'Utility room', 'Video cable', 'Cistern']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,"Quezon City, Metro Manila","₱ 2,750,551",,https://www.dotproperty.com.ph/ads/1-bedroom-apartment-for-sale-in-univ-phil-campus-metro-manila_162f6b7013f6-64ce-cfa2-dc17-5c267089,allan,1,1,,,"1 Bedroom Apartment for sale in Univ. Phil. Campus, Metro Manila",14.651512,121.0654679,"Epifanio Delos Santos Street, Diliman, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', 'Tennis court', 'Sauna', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Concierge', 'Library', 'Elevator', 'Roof garden', 'Terrace', 'Water', 'Patio', 'Heating', 'Alarm', 'Fireplace', 'Built-in wardrobe', 'Cellar', 'Access for the disabled', 'Grill', 'Guardhouse', 'Built-in kitchen', 'Hot Tub', 'Natural gas', 'Office', 'Utility room', 'Video cable', 'Cistern']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,"Quezon City, Metro Manila","₱ 2,750,551",,https://www.dotproperty.com.ph/ads/1-bedroom-apartment-for-sale-in-univ-phil-campus-metro-manila_51d69b32f17b-feb1-6082-e337-5c267089,allan,1,1,,,"1 Bedroom Apartment for sale in Univ. Phil. Campus, Metro Manila",14.651512,121.0654679,"Epifanio Delos Santos Street, Diliman, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', 'Tennis court', 'Sauna', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Concierge', 'Library', 'Elevator', 'Roof garden', 'Terrace', 'Water', 'Patio', 'Heating', 'Alarm', 'Fireplace', 'Built-in wardrobe', 'Cellar', 'Access for the disabled', 'Grill', 'Guardhouse', 'Built-in kitchen', 'Hot Tub', 'Natural gas', 'Office', 'Utility room', 'Video cable', 'Cistern']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,"Quezon City, Metro Manila","₱ 1,450,551",,https://www.dotproperty.com.ph/ads/apartment-for-sale-in-univ-phil-campus-metro-manila_29f691fec77e-9820-da82-632f-3d267089,allan,,1,,,"Apartment for sale in Univ. Phil. Campus, Metro Manila",14.651512,121.0654679,"Epifanio Delos Santos Street, Diliman, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', 'Tennis court', 'Sauna', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Concierge', 'Library', 'Elevator', 'Roof garden', 'Terrace', 'Water', 'Patio', 'Heating', 'Alarm', 'Fireplace', 'Built-in wardrobe', 'Cellar', 'Access for the disabled', 'Grill', 'Guardhouse', 'Built-in kitchen', 'Hot Tub', 'Natural gas', 'Office', 'Utility room', 'Video cable', 'Cistern']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,"Quezon City, Metro Manila","₱ 2,750,551",,https://www.dotproperty.com.ph/ads/1-bedroom-apartment-for-sale-in-univ-phil-campus-metro-manila_b228d76c681d-dad0-e662-7547-5c267089,allan,1,1,,,"1 Bedroom Apartment for sale in Univ. Phil. Campus, Metro Manila",14.651512,121.0654679,"Epifanio Delos Santos Street, Diliman, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', 'Tennis court', 'Sauna', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Concierge', 'Library', 'Elevator', 'Roof garden', 'Terrace', 'Water', 'Patio', 'Heating', 'Alarm', 'Fireplace', 'Built-in wardrobe', 'Cellar', 'Access for the disabled', 'Grill', 'Guardhouse', 'Built-in kitchen', 'Hot Tub', 'Natural gas', 'Office', 'Utility room', 'Video cable', 'Cistern']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,"Quezon City, Metro Manila","₱ 18,000,000","(₱ 32,727 / m2)",https://www.dotproperty.com.ph/ads/24-bedroom-apartment-for-sale-in-loyola-heights-metro-manila-near-lrt-2-katipunan_cd435562bc0f-c7ee-bb88-f911-9f2ae7fa,fa2bf7a0-880a-11ee-bb2d-a9de734465cd,24,24,550 m2,,"24 Bedroom Apartment for sale in Loyola Heights, Metro Manila near LRT-2 Katipunan",14.6354708,121.0684058,"Xavierville Ave, Lungsod Quezon, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 2,750,551",,https://www.dotproperty.com.ph/ads/1-bedroom-apartment-for-sale-in-univ-phil-campus-metro-manila_30bac270209f-026f-56a2-5f27-5c267089,allan,1,1,,,"1 Bedroom Apartment for sale in Univ. Phil. Campus, Metro Manila",14.651512,121.0654679,"Epifanio Delos Santos Street, Diliman, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', 'Tennis court', 'Sauna', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Concierge', 'Library', 'Elevator', 'Roof garden', 'Terrace', 'Water', 'Patio', 'Heating', 'Alarm', 'Fireplace', 'Built-in wardrobe', 'Cellar', 'Access for the disabled', 'Grill', 'Guardhouse', 'Built-in kitchen', 'Hot Tub', 'Natural gas', 'Office', 'Utility room', 'Video cable', 'Cistern']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,"Quezon City, Metro Manila","₱ 36,000,000","(₱ 45,000 / m2)",https://www.dotproperty.com.ph/ads/15-bedroom-serviced-apartment-for-sale-in-fairview-metro-manila_c362bb5d5ff9-5dcf-9b85-0da2-7b3725dd,cc4726e2-7fc9-41e0-adc4-0aa4c4ee736d,15,15,800 m2,,"15 Bedroom Serviced Apartment for sale in Fairview, Metro Manila",14.7021785,121.0682102,"Fairview, Novaliches, Quezon City, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 2,750,551",,https://www.dotproperty.com.ph/ads/1-bedroom-apartment-for-sale-in-univ-phil-campus-metro-manila_1e8843f76896-7a7f-1132-45f7-5c267089,allan,1,1,,,"1 Bedroom Apartment for sale in Univ. Phil. Campus, Metro Manila",14.651512,121.0654679,"Epifanio Delos Santos Street, Diliman, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', 'Tennis court', 'Sauna', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Concierge', 'Library', 'Elevator', 'Roof garden', 'Terrace', 'Water', 'Patio', 'Heating', 'Alarm', 'Fireplace', 'Built-in wardrobe', 'Cellar', 'Access for the disabled', 'Grill', 'Guardhouse', 'Built-in kitchen', 'Hot Tub', 'Natural gas', 'Office', 'Utility room', 'Video cable', 'Cistern']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
