title,location,price,price_per_sqm,url,listing_id,bedrooms,bathrooms,floor_area,land_area,floor,name,latitude,longitude,address,facilities,Access for the disabled,Air conditioning,Alarm,Balcony,Built-in kitchen,Built-in wardrobe,Car park,Children's area,Cistern,Concierge,Electricity,Elevator,Equipped kitchen,Garden,Grill,Guardhouse,Gym,Heating,Hot Tub,Internet,Library,Natural gas,Office,Panoramic view,Patio,Roof garden,Sauna,Security,Swimming pool,Tennis court,Terrace,Utility room,Video cable,Water,Fireplace,Cellar
,"Quezon City, Metro Manila","₱ 105,000,000","(₱ 245,545 / m2)",https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-horseshoe-metro-manila-near-lrt-2-betty-go-belmonte_79301c0f12c6-93bf-3882-3b72-577c7089,NFM01,5,5,427.62 m2,500 m2,2,"5 Bedroom House for sale in Horseshoe, Metro Manila near LRT-2 Betty Go-Belmonte",14.6109802,121.0436062,"Horseshoe Village, Sunset Dr, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Car park', 'Garden', 'Balcony', 'Electricity', 'Built-in wardrobe', 'Built-in kitchen', 'Office', 'Utility room']",0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,
,"Quezon City, Metro Manila","₱ 86,000,000","(₱ 172,000 / m2)",https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-laging-handa-metro-manila-near-mrt-3-kamuning_36e3cb51822a-5570-33e5-0c6b-2c0788c9,0d1129d7-e3d9-4b66-9244-f77184ed6b36,5,5,500 m2,441 m2,,"5 Bedroom House for sale in Laging Handa, Metro Manila near MRT-3 Kamuning",14.6321561,121.0325156,"Sct. Gandia Street, Diliman, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Internet', 'Car park', 'Balcony', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Concierge', 'Library', 'Built-in wardrobe', 'Office']",0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 7,600,000","(₱ 72,381 / m2)",https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-holy-spirit-metro-manila_1fc7c29fe876-6840-7dd2-bce9-23836089,01936167-0bde-7cc2-9513-321ba07d2da8,4,3,105 m2,35 m2,,"4 Bedroom House for sale in Holy Spirit, Metro Manila",14.6768357,121.0766279,"Don Antonio Heights, Don Primitivo, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Car park', 'Garden', 'Equipped kitchen', 'Electricity', 'Alarm', 'Built-in wardrobe', 'Grill', 'Guardhouse']",0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 85,000,000",,https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-culiat-metro-manila_72c8069753a2-d2df-1ee2-2aa3-69656089,FSHL-80857,5,5,,621 m2,,"5 Bedroom House for sale in Culiat, Metro Manila",14.6701147,121.0607418,"Tierra Pura Homes, Tandang Sora Avenue, Lungsod Quezon, Kalakhang Maynila, Pilipinas",['Car park'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 60,000,000",,https://www.dotproperty.com.ph/ads/8-bedroom-house-for-sale-in-batasan-hills-metro-manila_bb0e7bde15be-ee9f-be82-0ca4-c7437089,0192652d-5fd9-71be-a0bb-be48bce2b9ee,8,,,,,"8 Bedroom House for sale in Batasan Hills, Metro Manila",14.6772692,121.0925275,"Tivoli Royale Country Club, Inc., Yakal Street, Lungsod Quezon, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 38,000,000","(₱ 95,000 / m2)",https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-bagong-silangan-metro-manila_cbb46be1b94c-f88f-be55-646d-c55b9bde,bce0e44d-c353-44be-a11a-d50e8be35eed,4,4,400 m2,314 m2,,"4 Bedroom House for sale in Bagong Silangan, Metro Manila",14.703679,121.1056742,"Filinvest Heights, Elra, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Security', 'Built-in wardrobe']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 92,000,000","(₱ 218,527 / m2)",https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-pasong-tamo-metro-manila_290e939e2f9b-d99e-08d5-de86-895a4fe6,3ba5f401-31bc-4c19-b00c-e0a7b060b907,5,5,421 m2,400 m2,,"5 Bedroom House for sale in Pasong Tamo, Metro Manila",14.6760413,121.0437003,"Quezon City, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Security', 'Car park', 'Balcony', 'Electricity', 'Water']",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,
,"Quezon City, Metro Manila","₱ 65,000,000","(₱ 130,000 / m2)",https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-matandang-balara-metro-manila_19a224019092-d59e-d255-e596-f43b79f0,DS88-002584,4,5,500 m2,315 m2,,"4 Bedroom House for sale in Matandang Balara, Metro Manila",14.6747002,121.0876744,"Don Antonio Royale Estates, Matandang Balara, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Security', 'Car park', 'Garden', 'Electricity', 'Water', 'Built-in kitchen', 'Utility room']",0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,,
,"Quezon City, Metro Manila","₱ 80,000,000","(₱ 190,024 / m2)",https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-matandang-balara-metro-manila_05d6e08f208b-d001-5085-a53f-f4f3b254,DS88-001061-2,5,5,421 m2,400 m2,,"5 Bedroom House for sale in Matandang Balara, Metro Manila",14.6710069,121.0944076,"Capitol Homes, Zurich Avenue, Matandang Balara, Lungsod Quezon, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 188,000,000","(₱ 206,593 / m2)",https://www.dotproperty.com.ph/6-bedroom-house-for-sale-in-matandang-balara-metro-manila_9695136,152-HLFS-AH,6,9,910 m2,510 m2,,"6 Bedroom House for sale in Pansol, Metro Manila",14.6657894,121.0850216,"Ayala Heights, Ayala Heights Drive, Matandang Balara, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Car park', 'Garden', 'Balcony', 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Concierge', 'Terrace', 'Water', 'Patio', 'Built-in wardrobe', 'Access for the disabled', 'Built-in kitchen', 'Video cable', 'Cistern']",1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,,
