title,location,price,price_per_sqm,url,bedrooms,bathrooms,floor_area,floor,name,latitude,longitude,address,facilities,Access for the disabled,Air conditioning,Alarm,Balcony,Built-in kitchen,Built-in wardrobe,Car park,Children's area,Cistern,Concierge,Electricity,Elevator,Equipped kitchen,Garden,Grill,Guardhouse,Gym,Heating,Hot Tub,Internet,Library,Natural gas,Office,Panoramic view,Patio,Roof garden,Sauna,Security,Swimming pool,Tennis court,Terrace,Utility room,Video cable,Water,Fireplace,Cellar
,"Quezon City, Metro Manila",10500000,19091,https://www.dotproperty.com.ph/ads/11-bedroom-apartment-for-sale-in-novaliches-proper-metro-manila_43eb62e9684d-70ee-8662-3adc-6a086089,11,11,550 m2,3,"11 Bedroom Apartment for sale in Novaliches Proper, Metro Manila",14.7220913,121.0394115,"San Bartolome, Novaliches Wet and Dry Public Market, Susano Road, Novaliches, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Internet', 'Car park', 'Balcony', 'Electricity', 'Panoramic view', 'Terrace', 'Water', 'Cistern']",0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,,
,"Quezon City, Metro Manila",49911000,311944,https://www.dotproperty.com.ph/2-bedroom-apartment-for-sale-in-ugong-norte-metro-manila_7972802,2,2,160 m2,35,"2 Bedroom Apartment for sale in Ugong Norte, Metro Manila",14.5978391,121.0802472,"Parklinks North Tower, Parklinks, Eulogio Rodriguez Jr. Avenue, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Concierge', 'Library', 'Elevator', 'Water', 'Alarm', 'Access for the disabled', 'Built-in kitchen', 'Utility room']",1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,,
,"Quezon City, Metro Manila",11000000,122222,https://www.dotproperty.com.ph/commercial-for-sale-in-pinyahan-metro-manila_5851535,3,2,90 m2,2,"3 Bedroom Apartment for sale in Manresa, Metro Manila",14.6401606,121.000537,"Manresa, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Internet', 'Car park', 'Electricity', 'Water', 'Built-in kitchen', 'Video cable', 'Cistern']",0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,
,"Quezon City, Metro Manila",34858500,85000,https://www.dotproperty.com.ph/ads/8-bedroom-apartment-for-sale-in-project-6-metro-manila_87832ef0227b-e59e-e512-a2bf-cfd98089,8,8,410.1 m2,1,"8 Bedroom Apartment for sale in Project 6, Metro Manila",14.66026016,121.04056656,"Road 8, Project 6, Quezon City, Metro Manila, National Capital Region, PHL",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Quezon City, Metro Manila",10000000,18182,https://www.dotproperty.com.ph/ads/11-bedroom-apartment-for-sale-in-san-bartolome-metro-manila_576ea0ece1e4-b91e-b502-44c9-a1696089,11,11,550 m2,550,"11 Bedroom Apartment for sale in San Bartolome, Metro Manila",14.7043235,121.0306432,"San Bartolome, QC, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Quezon City, Metro Manila",8000000,41885,https://www.dotproperty.com.ph/ads/6-bedroom-apartment-for-sale-in-nagkaisang-nayon-metro-manila_8d2e823b3d99-ee41-b9c5-5875-d6a74c9e,6,6,191 m2,200,"6 Bedroom Apartment for sale in Nagkaisang Nayon, Metro Manila",14.7208711,121.0296067,"Don Enrique Florence Ville, General Luis, Novaliches, Novaliches, Quezon City, Kalakhang Maynila, Pilipinas","['Car park', 'Electricity', 'Water']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
,"Quezon City, Metro Manila",18000000,6000,https://www.dotproperty.com.ph/ads/56-bedroom-apartment-for-sale-in-socorro-metro-manila-near-lrt-2-araneta-center-cubao_35aa8d168b1a-279e-0882-0a27-c4c57089,56,56,"3,000 m2",,"56 Bedroom Apartment for sale in Socorro, Metro Manila near LRT-2 Araneta Center-Cubao",14.6192831,121.0577149,"Cubao, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Security', 'Car park', 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Elevator', 'Alarm', 'Built-in wardrobe', 'Built-in kitchen', 'Utility room', 'Cistern']",0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,
,"Quezon City, Metro Manila",2100000,105000,https://www.dotproperty.com.ph/ads/1-bedroom-apartment-for-sale-in-bagbag-metro-manila_80f0c6f3f1c9-22b0-9772-99fb-4b936089,1,1,20 m2,,"1 Bedroom Apartment for sale in Bagbag, Metro Manila",14.6992035,121.0225798,"El Pueblo One Condominium, King Christian Extension, Novaliches, Quezon City, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Electricity', 'Water', 'Built-in kitchen']",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
,"Quezon City, Metro Manila",2750551,,https://www.dotproperty.com.ph/ads/apartment-for-sale-in-univ-phil-campus-metro-manila_4212bbe26a01-9141-cbf2-9de7-5c267089,,1,,,"Apartment for sale in Univ. Phil. Campus, Metro Manila",14.651512,121.0654679,"Epifanio Delos Santos Street, Diliman, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', 'Tennis court', 'Sauna', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Concierge', 'Library', 'Elevator', 'Roof garden', 'Terrace', 'Water', 'Patio', 'Heating', 'Alarm', 'Fireplace', 'Built-in wardrobe', 'Cellar', 'Access for the disabled', 'Grill', 'Guardhouse', 'Built-in kitchen', 'Hot Tub', 'Natural gas', 'Office', 'Utility room', 'Video cable', 'Cistern']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0
,"Quezon City, Metro Manila",1450551,,https://www.dotproperty.com.ph/ads/apartment-for-sale-in-univ-phil-campus-metro-manila_29f691fec77e-9820-da82-632f-3d267089,,1,,,"Apartment for sale in Univ. Phil. Campus, Metro Manila",14.651512,121.0654679,"Epifanio Delos Santos Street, Diliman, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', 'Tennis court', 'Sauna', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Concierge', 'Library', 'Elevator', 'Roof garden', 'Terrace', 'Water', 'Patio', 'Heating', 'Alarm', 'Fireplace', 'Built-in wardrobe', 'Cellar', 'Access for the disabled', 'Grill', 'Guardhouse', 'Built-in kitchen', 'Hot Tub', 'Natural gas', 'Office', 'Utility room', 'Video cable', 'Cistern']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0
