title,location,price,price_per_sqm,url,bedrooms,bathrooms,floor_area,floor,name,latitude,longitude,address,facilities,Access for the disabled,Air conditioning,Alarm,Balcony,Built-in kitchen,Built-in wardrobe,Car park,Children's area,Cistern,Concierge,Electricity,Elevator,Equipped kitchen,Garden,Grill,Guardhouse,Gym,Heating,Hot Tub,Internet,Library,Natural gas,Office,Panoramic view,Patio,Roof garden,Sauna,Security,Swimming pool,Tennis court,Terrace,Utility room,Video cable,Water,Fireplace,Cellar
,"Quezon City, Metro Manila",5780000,175152,https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-sale-in-the-crestmont-south-triangle-metro-manila-near-mrt-3-quezon-avenue_1dd35619f653-2470-1332-e97c-7b607089,1,1,33 m2,29,The Crestmont,14.642647,121.036691,,"['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Concierge', 'Elevator', 'Roof garden', 'Water', 'Patio', 'Alarm', 'Access for the disabled', 'Guardhouse', 'Built-in kitchen', 'Utility room', 'Video cable', 'Cistern']",1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,,
,"Quezon City, Metro Manila",5760000,174545,https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-sale-in-the-crestmont-south-triangle-metro-manila-near-mrt-3-quezon-avenue_cc46dd081316-0521-e9a5-fa04-bdf6e1a3,1,1,33 m2,29,The Crestmont,14.642647,121.036691,,"['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', 'Tennis court', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Concierge', 'Elevator', 'Roof garden', 'Water', 'Alarm', 'Access for the disabled', 'Guardhouse', 'Built-in kitchen', 'Utility room', 'Video cable']",1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,,
,"Quezon City, Metro Manila",5900000,121649,https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-sale-in-marilag-metro-manila-near-lrt-2-anonas_0afb1dbd674f-1b6f-c5a8-4b43-940a6785,2,1,48.5 m2,31,"2 Bedroom Condo for sale in Marilag, Metro Manila near LRT-2 Anonas",14.6282201,121.0674028,"Infina Towers, Aurora Boulevard, Project 4, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', 'Tennis court', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Concierge', 'Library', 'Elevator', 'Roof garden', 'Terrace', 'Water', 'Patio', 'Heating', 'Alarm', 'Fireplace', 'Built-in wardrobe', 'Cellar', 'Access for the disabled', 'Grill', 'Guardhouse', 'Built-in kitchen', 'Hot Tub', 'Natural gas', 'Office', 'Utility room', 'Video cable', 'Cistern']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1.0,1.0
,"Quezon City, Metro Manila",8400000,120000,https://www.dotproperty.com.ph/2-bedroom-condo-for-sale-in-marilag-metro-manila-near-lrt-2-anonas_9383035,2,1,70 m2,7,"2 Bedroom Condo for sale in Marilag, Metro Manila near LRT-2 Anonas",14.6283138,121.0684287,"The Oriana, Project 4, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', 'Tennis court', 'Sauna', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Concierge', 'Library', 'Elevator', 'Roof garden', 'Terrace', 'Water', 'Patio', 'Heating', 'Alarm', 'Fireplace', 'Built-in wardrobe', 'Cellar', 'Access for the disabled', 'Grill', 'Guardhouse', 'Built-in kitchen', 'Hot Tub', 'Natural gas', 'Office', 'Utility room', 'Video cable', 'Cistern']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0
,"Quezon City, Metro Manila",12900000,195455,https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-sale-in-the-crestmont-south-triangle-metro-manila-near-mrt-3-quezon-avenue_a2db06aa3b1d-d941-c992-e97b-6f5a8089,2,1,66 m2,,The Crestmont,14.642647,121.036691,,"['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', 'Tennis court', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Elevator', 'Roof garden', 'Water', 'Alarm', 'Access for the disabled', 'Guardhouse', 'Built-in kitchen', 'Utility room', 'Video cable', 'Cistern']",1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,,
,"Quezon City, Metro Manila",5900000,121649,https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-sale-in-infina-towers-marilag-metro-manila-near-lrt-2-anonas_49d410042082-943e-3cc2-915f-bab48089,2,1,48.5 m2,9,INFINA TOWERS,14.628471,121.067842,"Infina Towers, Aurora Boulevard, Quezon City, NCR,","['Swimming pool', 'Gym', 'Security', 'Garden', 'Balcony', 'Electricity', 'Elevator', 'Roof garden', 'Water', 'Patio', 'Access for the disabled']",1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,,
,"Quezon City, Metro Manila",200000,3636,https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-sale-in-manhattan-garden-ramon-magsaysay-metro-manila-near-lrt-1-roosevelt_994c778208b3-2940-f882-ae32-82c56089,1,1,55 m2,19,MANHATTAN GARDEN,14.660386,121.02271,"Araneta Center, Cubao, Quezon City","['Swimming pool', 'Security', 'Car park', 'Garden', 'Balcony', 'Alarm']",0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,
,"Quezon City, Metro Manila",6500000,118182,https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-sale-in-viera-residences-obrero-metro-manila_8f58a25e79fe-9ace-1662-073e-b0fb8089,2,1,55 m2,23,Viera Residences,14.627892,121.032095,"Sct. Tuason St, Diliman, Quezon City, Metro Manila","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Concierge', 'Elevator', 'Roof garden', 'Water', 'Alarm', 'Built-in wardrobe', 'Access for the disabled', 'Grill', 'Guardhouse', 'Built-in kitchen', 'Video cable', 'Cistern']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,,
,"Quezon City, Metro Manila",5760000,174545,https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-sale-in-the-crestmont-south-triangle-metro-manila-near-mrt-3-quezon-avenue_d0c61499aca8-9961-abb2-b900-c1867089,1,1,33 m2,29,The Crestmont,14.642647,121.036691,,"['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Balcony', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Concierge', 'Elevator', 'Roof garden', 'Terrace', 'Water', 'Alarm', 'Access for the disabled', 'Guardhouse', 'Built-in kitchen', 'Utility room', 'Video cable', 'Cistern']",1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,,
,"Quezon City, Metro Manila",4890000,168621,https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-sale-in-marilag-metro-manila-near-lrt-2-anonas_0968f37028e4-1950-2288-adc0-94816c52,1,1,29 m2,20,"1 Bedroom Condo for sale in Marilag, Metro Manila near LRT-2 Anonas",14.6283138,121.0684287,"The Oriana, Project 4, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', 'Tennis court', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Concierge', 'Library', 'Elevator', 'Roof garden', 'Terrace', 'Water', 'Patio', 'Heating', 'Alarm', 'Fireplace', 'Cellar', 'Access for the disabled', 'Grill', 'Guardhouse', 'Built-in kitchen', 'Hot Tub', 'Natural gas', 'Office', 'Utility room', 'Video cable', 'Cistern']",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1.0,1.0
