title,location,price,price_per_sqm,url,bedrooms,bathrooms,floor_area,land_area,floor,name,latitude,longitude,address,facilities,Access for the disabled,Air conditioning,Alarm,Balcony,Built-in kitchen,Built-in wardrobe,Car park,Children's area,Cistern,Concierge,Electricity,Elevator,Equipped kitchen,Garden,Grill,Guardhouse,Gym,Heating,Hot Tub,Internet,Library,Natural gas,Office,Panoramic view,Patio,Roof garden,Sauna,Security,Swimming pool,Tennis court,Terrace,Utility room,Video cable,Water,Cellar,Fireplace
,"Quezon City, Metro Manila","₱ 105,000,000","(₱ 245,545 / m2)",https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-horseshoe-metro-manila-near-lrt-2-betty-go-belmonte_79301c0f12c6-93bf-3882-3b72-577c7089,5,5,427.62 m2,500 m2,2,"5 Bedroom House for sale in Horseshoe, Metro Manila near LRT-2 Betty Go-Belmonte",14.6109802,121.0436062,"Horseshoe Village, Sunset Dr, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Car park', 'Garden', 'Balcony', 'Electricity', 'Built-in wardrobe', 'Built-in kitchen', 'Office', 'Utility room']",0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,
,"Quezon City, Metro Manila","₱ 36,000,000","(₱ 84,507 / m2)",https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-tandang-sora-tandang-sora-metro-manila_20b2f89b8c79-d401-c552-b78d-03197089,5,4,426 m2,,,Tandang Sora,14.682105,121.031201,Quezon City,"['Security', 'Car park']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 86,000,000","(₱ 172,000 / m2)",https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-laging-handa-metro-manila-near-mrt-3-kamuning_36e3cb51822a-5570-33e5-0c6b-2c0788c9,5,5,500 m2,441 m2,,"5 Bedroom House for sale in Laging Handa, Metro Manila near MRT-3 Kamuning",14.6321561,121.0325156,"Sct. Gandia Street, Diliman, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Internet', 'Car park', 'Balcony', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Concierge', 'Library', 'Built-in wardrobe', 'Office']",0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 7,600,000","(₱ 72,381 / m2)",https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-holy-spirit-metro-manila_1fc7c29fe876-6840-7dd2-bce9-23836089,4,3,105 m2,35 m2,,"4 Bedroom House for sale in Holy Spirit, Metro Manila",14.6768357,121.0766279,"Don Antonio Heights, Don Primitivo, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Car park', 'Garden', 'Equipped kitchen', 'Electricity', 'Alarm', 'Built-in wardrobe', 'Grill', 'Guardhouse']",0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 85,000,000",,https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-culiat-metro-manila_72c8069753a2-d2df-1ee2-2aa3-69656089,5,5,,621 m2,,"5 Bedroom House for sale in Culiat, Metro Manila",14.6701147,121.0607418,"Tierra Pura Homes, Tandang Sora Avenue, Lungsod Quezon, Kalakhang Maynila, Pilipinas",['Car park'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 60,000,000",,https://www.dotproperty.com.ph/ads/8-bedroom-house-for-sale-in-batasan-hills-metro-manila_bb0e7bde15be-ee9f-be82-0ca4-c7437089,8,,,,,"8 Bedroom House for sale in Batasan Hills, Metro Manila",14.6772692,121.0925275,"Tivoli Royale Country Club, Inc., Yakal Street, Lungsod Quezon, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 21,600,000","(₱ 86,400 / m2)",https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-bahay-toro-metro-manila-near-lrt-1-roosevelt_47d6d7f407a0-2ab1-5b25-901d-d6444659,4,3,250 m2,87 m2,3,"4 Bedroom House for sale in Bahay Toro, Metro Manila near LRT-1 Roosevelt",14.66280725,121.01792296,"Pangilinan Drive, Bahay Toro, Quezon City, Metro Manila, National Capital Region, PHL","['Swimming pool', 'Internet', 'Security', 'Car park', 'Balcony', ""Children's area"", 'Electricity', 'Water', 'Alarm', 'Built-in wardrobe', 'Built-in kitchen', 'Utility room', 'Video cable']",0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,,
,"Quezon City, Metro Manila","₱ 15,000,000","(₱ 62,500 / m2)",https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-milagrosa-metro-manila_975fe771beb1-839e-5ee2-4ca9-d21b7089,4,3,240 m2,128 m2,2,"4 Bedroom House for sale in Milagrosa, Metro Manila",14.6207765,121.070773,"Project 4, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Security', 'Car park', 'Garden', 'Balcony', 'Equipped kitchen', 'Electricity', 'Concierge', 'Library', 'Water', 'Patio', 'Built-in wardrobe', 'Cellar', 'Built-in kitchen', 'Office', 'Utility room']",0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1.0,
,"Quezon City, Metro Manila","₱ 76,000,000","(₱ 108,571 / m2)",https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-laging-handa-metro-manila_064276d3bda4-a871-34f5-6bc8-d7a3099c,5,7,700 m2,337 m2,,"5 Bedroom House for sale in Laging Handa, Metro Manila",14.6305642,121.0299618,"Sct. Lozano Street, Diliman, Lungsod Quezon, Kalakhang Maynila, Pilipinas",['Car park'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 49,000,000","(₱ 95,146 / m2)",https://www.dotproperty.com.ph/ads/7-bedroom-house-for-sale-in-bagong-silangan-metro-manila_0f811239d036-6a60-1552-cd6c-87b46089,7,7,515 m2,265 m2,3,"7 Bedroom House for sale in Bagong Silangan, Metro Manila",14.6948107,121.1037268,"Filinvest 2 Subdivision, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', 'Tennis court', 'Sauna', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Terrace', 'Water', 'Patio', 'Heating', 'Fireplace', 'Built-in wardrobe', 'Access for the disabled', 'Grill', 'Guardhouse', 'Built-in kitchen', 'Hot Tub', 'Natural gas', 'Office', 'Utility room', 'Video cable', 'Cistern']",1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,,1.0
