,title,location,price,url,listing_id,bedrooms,bathrooms,floor_area,land_area,floor,name,latitude,longitude,address,facilities,Air conditioning,Alarm,Balcony,Built-in wardrobe,Car park,Children's area,Garden,Internet,Security,Swimming pool,Tennis court,Terrace,Utility room,price_per_sqm
0,,"Quezon City, Metro Manila",105000000.0,https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-horseshoe-metro-manila-near-lrt-2-betty-go-belmonte_79301c0f12c6-93bf-3882-3b72-577c7089,NFM01,5.0,5.0,427.62,500 m2,2.0,"5 Bedroom House for sale in Horseshoe, Metro Manila near LRT-2 Betty Go-Belmonte",14.6109802,121.0436062,"Horseshoe Village, Sunset Dr, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Car park', 'Garden', 'Balcony', 'Electricity', 'Built-in wardrobe', 'Built-in kitchen', 'Office', 'Utility room']",1,0,1,1,1,0,1,0,0,0,0,0,1,245545.11
1,,"Quezon City, Metro Manila",86000000.0,https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-laging-handa-metro-manila-near-mrt-3-kamuning_36e3cb51822a-5570-33e5-0c6b-2c0788c9,0d1129d7-e3d9-4b66-9244-f77184ed6b36,5.0,5.0,500.0,441 m2,,"5 Bedroom House for sale in Laging Handa, Metro Manila near MRT-3 Kamuning",14.6321561,121.0325156,"Sct. Gandia Street, Diliman, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Internet', 'Car park', 'Balcony', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Concierge', 'Library', 'Built-in wardrobe', 'Office']",1,0,1,1,1,1,0,1,0,0,0,0,0,172000.0
2,,"Quezon City, Metro Manila",7600000.0,https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-holy-spirit-metro-manila_1fc7c29fe876-6840-7dd2-bce9-23836089,01936167-0bde-7cc2-9513-321ba07d2da8,4.0,3.0,105.0,35 m2,,"4 Bedroom House for sale in Holy Spirit, Metro Manila",14.6768357,121.0766279,"Don Antonio Heights, Don Primitivo, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Car park', 'Garden', 'Equipped kitchen', 'Electricity', 'Alarm', 'Built-in wardrobe', 'Grill', 'Guardhouse']",1,1,0,1,1,0,1,0,0,1,0,0,0,72380.95
3,,"Quezon City, Metro Manila",38000000.0,https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-bagong-silangan-metro-manila_cbb46be1b94c-f88f-be55-646d-c55b9bde,bce0e44d-c353-44be-a11a-d50e8be35eed,4.0,4.0,400.0,314 m2,,"4 Bedroom House for sale in Bagong Silangan, Metro Manila",14.703679,121.1056742,"Filinvest Heights, Elra, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Security', 'Built-in wardrobe']",1,0,0,1,0,0,0,0,1,0,0,0,0,95000.0
4,,"Quezon City, Metro Manila",92000000.0,https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-pasong-tamo-metro-manila_290e939e2f9b-d99e-08d5-de86-895a4fe6,3ba5f401-31bc-4c19-b00c-e0a7b060b907,5.0,5.0,421.0,400 m2,,"5 Bedroom House for sale in Pasong Tamo, Metro Manila",14.6760413,121.0437003,"Quezon City, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Security', 'Car park', 'Balcony', 'Electricity', 'Water']",0,0,1,0,1,0,0,0,1,1,0,0,0,218527.32
5,,"Quezon City, Metro Manila",65000000.0,https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-matandang-balara-metro-manila_19a224019092-d59e-d255-e596-f43b79f0,DS88-002584,4.0,5.0,500.0,315 m2,,"4 Bedroom House for sale in Matandang Balara, Metro Manila",14.6747002,121.0876744,"Don Antonio Royale Estates, Matandang Balara, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Security', 'Car park', 'Garden', 'Electricity', 'Water', 'Built-in kitchen', 'Utility room']",1,0,0,0,1,0,1,0,1,0,0,0,1,130000.0
6,,"Quezon City, Metro Manila",80000000.0,https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-matandang-balara-metro-manila_05d6e08f208b-d001-5085-a53f-f4f3b254,DS88-001061-2,5.0,5.0,421.0,400 m2,,"5 Bedroom House for sale in Matandang Balara, Metro Manila",14.6710069,121.0944076,"Capitol Homes, Zurich Avenue, Matandang Balara, Lungsod Quezon, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,190023.75
7,,"Quezon City, Metro Manila",188000000.0,https://www.dotproperty.com.ph/6-bedroom-house-for-sale-in-matandang-balara-metro-manila_9695136,152-HLFS-AH,6.0,9.0,910.0,510 m2,,"6 Bedroom House for sale in Pansol, Metro Manila",14.6657894,121.0850216,"Ayala Heights, Ayala Heights Drive, Matandang Balara, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Car park', 'Garden', 'Balcony', 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Concierge', 'Terrace', 'Water', 'Patio', 'Built-in wardrobe', 'Access for the disabled', 'Built-in kitchen', 'Video cable', 'Cistern']",1,0,1,1,1,0,1,0,0,1,0,1,0,206593.41
8,,"Quezon City, Metro Manila",160000000.0,https://www.dotproperty.com.ph/5-bedroom-house-for-sale-in-matandang-balara-metro-manila_9695117,153-HLFS-AH,5.0,5.0,820.0,480 m2,,"5 Bedroom House for sale in Pansol, Metro Manila",14.6657894,121.0850216,"Ayala Heights, Ayala Heights Drive, Matandang Balara, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Concierge', 'Terrace', 'Water', 'Patio', 'Heating', 'Fireplace', 'Built-in wardrobe', 'Cellar', 'Access for the disabled', 'Grill', 'Built-in kitchen', 'Video cable']",1,0,1,1,1,1,1,1,1,1,0,1,0,195121.95
9,,"Quezon City, Metro Manila",78000000.0,https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-bagong-silangan-metro-manila_7c8b3c2a3264-70d0-e442-15e1-3f787089,44,5.0,7.0,946.0,344 m2,3.0,"5 Bedroom House for sale in Bagong Silangan, Metro Manila",14.6948107,121.1037268,"Filinvest 2 Subdivision, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', 'Tennis court', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Terrace', 'Water', 'Patio', 'Heating', 'Alarm', 'Fireplace', 'Built-in wardrobe', 'Cellar', 'Access for the disabled', 'Grill', 'Guardhouse', 'Built-in kitchen', 'Hot Tub', 'Natural gas', 'Office', 'Utility room', 'Video cable', 'Cistern']",1,1,1,1,1,1,1,1,1,1,1,1,1,82452.43
10,,"Quezon City, Metro Manila",75000000.0,https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-pansol-metro-manila_521a7d94d0de-2b9f-7cc2-54d0-f15c8089,DS88-001822,5.0,4.0,400.0,502 m2,,"5 Bedroom House for sale in Pansol, Metro Manila",14.6544878,121.0862184,"Loyola Grand Villas, Soliven III Avenue, Quezon City, Kalakhang Maynila, Pilipinas",['Car park'],0,0,0,0,1,0,0,0,0,0,0,0,0,187500.0
