title,price,location,description,bedrooms,bathrooms,floor_area,property_type,subcategories,listing_url,listing_id,geo_location,furnished_status,condominium_name,is_new_development
"Building For Sale in Pinagkaisahan, Quezon City, Metro Manila",66500000,"Pinagkaisahan, Quezon City","For Sale: Prime Commercial Building in Cubao, Quezon City  Lot Area: 375 sqm Total Floor Area: 641.38 sqm  Asking Price: PHP 66.5M  Property Features:  3-Storey Building 8 Commercial Units – ideal for businesses or retail establishments 6 Residential Units – great for rental income 8 Parking Slots – convenient for tenants and customers  This property offers an excellent investment opportunity in a bustling area with high demand for both commercial and residential spaces.  Don’t miss out on this valuable real estate asset in Cubao, QC!",N/A,N/A,641.38,commercial,"commercial, building",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/commercial-building-in-cubao-quezon-city-173189862329/,CO673AACFF90CDEPH,"121.04426, 14.626617",,N/A,False
"Building For Sale in Congressional Avenue, Quezon City, Metro Manila",600000000,"Congressional Avenue, Quezon City","5 Storey Office/Commercial Building for Sale in Congressional Avenue Area (Former University). A Highly Secured and has easy access going to and from Manila, Quezon City.
Commercial Building in Congressional Ave near Sm Cherry Foodarama.


Details:

  LA: 2,535 sq.m.
  FA: 6,956.03 sq.m.
  5 Storey Office/Commercial Building
  Location: Along Congressional Avenue, Quezon City
  40 Car Parking Slots
  8 Motorcycle Parking Slots
  Garden Area


Special Features:


  Provision for Airconditioning units
  Electric Fence
  Motorized Pressure Water Tank
  Typical Office Space
  Spacious Common Male & Female Toilet
  Office Space with Toilet
  Front Lobby
  Elevator
  Electrical Room
  Utility Room
  Storage Room
  Fire Exit
  Electric Fence
  Open Deck (Basketball Court)


Commercial Establishments:


  Circle C Shopping Mall
  SM Hypermart
  Puregold Mindanao Ave.
  Solaire North
  SM North


Hospitals:


  Metro North Medical Center Hospital
  Visayas Avenue Medical Center
  Quezon City General Hospital
  Allied Care Expert Medical Center


Access Roads:

  Congressional Avenue
  Mindanao Avenue
  NLEX
  Edsa
  Roosevelt Avenue",N/A,N/A,6956.03,commercial,"commercial, building",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/commercial-building-with-parking-lot-for-sale-in-c-172256914059/,CO64992D14C40CCPH,"121.031, 14.66588",180,N/A,False
"Building For Sale in Kristong Hari, Quezon City, Metro Manila",600000000,"Kristong Hari, Quezon City","For Sale: Superb 8-Storey Commercial Building, Tomas Morato Ave., Quezon City   Price: PHP 600,000,000 (Gross)    Lot Area: 1,194 sq.m. Floor Area: 5,719 sq.m.    Location: Tomas Morato Ave., Brgy. Kristong Hari, Quezon City   Discover this beautifully renovated 8-storey multi-purpose commercial building, strategically located in one of Quezon City’s prime areas. The property boasts:   2 Elevators 45 Car Parking Slots 57 Motorcycle Parking Slots   Building Layout:   Basement (1st Level): 3 Commercial Spaces, Storage Room, Male & Female Restrooms, Elevator, and Parking Ground Floor (2nd Level): 3 Commercial Spaces, Storage Room, and Parking 3rd Level: Elevator/Lobby, Electrical Room, Commercial Space, Alfresco Dining Area 4th & 5th Levels: Open Commercial Space, Lobby, Elevator, Male & Female Restrooms 6th-8th Levels: Open Commercial Space, Lobby, Male & Female Restrooms   Key Features:  Clean and Clear Documents Ready for Immediate Occupancy Note: Exclusively for Direct Buyers   Contact:  Richelle C. Panuelos Accredited PRC and DHSUD Salesperson Marketing Manager, BRIDGE Group",N/A,N/A,5719,commercial,"commercial, building",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/for-sale-superb-8-storey-commercial-building-tomas-172527196966/,CO66BF3889E89D7PH,"121.029926, 14.624843",181,N/A,False
"Building For Sale in South Triangle, Quezon City, Metro Manila",600000000,"South Triangle, Quezon City","An 8 storey commercial building is a modern and sleek structure that offers ample space for a range of commercial activities. This type of building is typically designed with high-end features and state-of-the-art technology to provide a comfortable and efficient working environment.  Please Contact: Ar. Elyssa -   Specs * Commercial Office / Multi Purpose * 2 Elevators * Electric And Utility Room * Septic Tanks *Toilet For Men And Women * Cctv Cameras * Fire Protection System * 30 Motorcycle Parking Slots * 25 Car Parking Slots  Nearby Establishments * Holy Spirit School High School * Manila Waldorf School - Kindergarden * Wordlab School Inc., * Dr. Jesus Delgado Memorial Hospital * Capitol Medical Center Inc. * Providence Hospital * St. Lukes Medical Center Q.C * Metro Supermarket E. Rodriguez * JC Plaza Supermarket * Yapis Grocery Store * Robinsons Supermarket Magnolia * Privato Holet Quezon City * ABS-CBN Broadcasting Center * AIMIX Group Phil. Inc.",N/A,N/A,5719,commercial,"commercial, building",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/rare-opportunity-8-storey-commercial-bldg-for-sale-172864154210/,CO637734D19AB38PH,"121.035979, 14.637561",,N/A,False
"Offices For Sale in Cubao, Quezon City, Metro Manila",50561400,"Cubao, Quezon City","Live the Beat Embrace progress, play, and productivity at Activa, a transit-oriented mixed-use development seamlessly integrating modern-day essentials. It is home to four components that let you live the beat. Savor life at the center at Activa Flats. Be productive in the conducive spaces of Activa Flex and Activa Office Tower. Enjoy a complete lifestyle with healthy choices at the Activa Mall. Activa Flex is the ideal home base for your business in the metro. This versatile development offers Small Office / Home Office, Regular Office, and Compound Office units in various cuts and sizes. Tailored for optimal efficiency, it is equipped with fiber optic infrastructure for a robust and reliable connectivity that enables your business to thrive.  Features & Amenities Nurture your most creative and innovative ideas in Activa Flex’s conducive amenities.  Business Lounges Demo Suites Sky Garden Viewing Deck Reception and Lobby High-powered Elevators Fiber Optic Backbone for Telecoms 100% Back-up Power Supply Generators for Common Areas and Units   Location Activa is located at the crossroads of EDSA and Aurora Boulevard in Cubao, Quezon City. Transit-oriented and central, it allows you to have easy access to two of the metro’s most vital thoroughfares. It connects you to your needs and makes everything reachable via its direct access to MRT-3, LRT-2, and other public utility vehicles.  Landmarks:  LRT-2 Cubao Station – 0.26 km Gateway Mall – 0.26 km MRT-3 Cubao Station – 0.35 km Smart Araneta Coliseum – 0.9 km St. Luke’s Medical Center – 3.1 km Trinoma – 4 km De La Salle Greenhills – 4.3 km   Units Activa Flex offers smartly-designed spaces that makes for ideal home bases for enterprises of varied scales.  HLURB LS No. 033454 | Completion Date: 12/2022",N/A,N/A,150,commercial,"commercial, offices",https://www.lamudi.com.phhttps://www.lamudi.com.ph/new-developments/activa-flex/compound-office-for-sale-in-activa-flex-cubao-quezon-city-2/,CO60D9626161BFCPH,"121.0502673949, 14.6219566045",,N/A,True
"Offices For Sale in Cubao, Quezon City, Metro Manila",10992000,"Cubao, Quezon City","Live the Beat Embrace progress, play, and productivity at Activa, a transit-oriented mixed-use development seamlessly integrating modern-day essentials. It is home to four components that let you live the beat. Savor life at the center at Activa Flats. Be productive in the conducive spaces of Activa Flex and Activa Office Tower. Enjoy a complete lifestyle with healthy choices at the Activa Mall. Activa Flex is the ideal home base for your business in the metro. This versatile development offers Small Office / Home Office, Regular Office, and Compound Office units in various cuts and sizes. Tailored for optimal efficiency, it is equipped with fiber optic infrastructure for a robust and reliable connectivity that enables your business to thrive.  Features & Amenities Nurture your most creative and innovative ideas in Activa Flex’s conducive amenities.  Business Lounges Demo Suites Sky Garden Viewing Deck Reception and Lobby High-powered Elevators Fiber Optic Backbone for Telecoms 100% Back-up Power Supply Generators for Common Areas and Units   Location Activa is located at the crossroads of EDSA and Aurora Boulevard in Cubao, Quezon City. Transit-oriented and central, it allows you to have easy access to two of the metro’s most vital thoroughfares. It connects you to your needs and makes everything reachable via its direct access to MRT-3, LRT-2, and other public utility vehicles.  Landmarks:  LRT-2 Cubao Station – 0.26 km Gateway Mall – 0.26 km MRT-3 Cubao Station – 0.35 km Smart Araneta Coliseum – 0.9 km St. Luke’s Medical Center – 3.1 km Trinoma – 4 km De La Salle Greenhills – 4.3 km   Units Activa Flex offers smartly-designed spaces that makes for ideal home bases for enterprises of varied scales.  HLURB LS No. 033454 | Completion Date: 12/2022",N/A,N/A,20,commercial,"commercial, offices",https://www.lamudi.com.phhttps://www.lamudi.com.ph/new-developments/activa-flex/regular-office-unit-for-sale-in-activa-flex-cubao-quezon-city/,CO60D96262AF87EPH,"121.0502673949, 14.6219566045",,N/A,True
"Offices For Sale in Bagong Pag-Asa, Quezon City, Metro Manila",461021000,"Bagong Pag-Asa, Quezon City","One Vertis Plaza signals a new branch in Ayala Land Premier's evolution, presenting distinctive professional environments in Quezon City. Prime workspaces directly accessible to the two-hectare Vertis North Gardens open an unobstructed view of opportunities ahead. A dynamic corporate address for business and investment to define your measure of success.  ONE VERTIS PLAZA 17th FLOOR ✅ 1,614 sqm total NSA ✅ 1 whole floor with 15 parking slots ✅ Half floor facing Vertis Gardens, half floor facing Manila Seedling ✅ Turnover Date: Beginning June 2024 ✅ List Price: Php 461,021,000  SPECIAL PAYMENT TERM: 20% down payment split into 6 months 2 years to pay interest free  DEVELOPMENT SUMMARY Development Type: Premium LEED registered building Land Area: 6,060 sqm FAR: 12.9 Typical Floor Plate Area: 2,319 sqm Number of Office Units: 372 units  SPECIAL FEATURES Low-e, all glass façade 19 high speed elevators VRF air-conditioning system Premium LEED registered building  DISTANCE TO KEY AREAS Cloverleaf – 7km Ortigas Center – 8.6km Manila – 9.7km Makati CBD – 13.6km Bonifacio Global City – 16.2km Altaraza, Bulacan – 23.9km",N/A,N/A,1614,commercial,"commercial, offices",https://www.lamudi.com.phhttps://www.lamudi.com.ph/projects/one-vertis-plaza/one-whole-office-floor-in-quezon-city-with-garden-171155101857/,CO6604322AAA607PH,"121.03781, 14.650205",,N/A,False
"Building For Sale in Obrero, Quezon City, Metro Manila",600000000,"Obrero, Quezon City","New Commercial Building For Sale in Tomas Morato Quezon City  Make your business stand out with a signature address and building in Tomas Morato Quezon City! We offer spaces on this multi-level commercial building for sale.  Features: Floor Area: 5,490 sqm Lot Area: 965 sqm Price: P600,000,000  Commercial Office/Multi-Purpose 25 Parking Slot for Car 30 Parking Slot for Motorcycle 2 Elevators Septic Tanks Electrical and Utility Room Fire Protection System  Special Features: Provision for Airconditioning units Motorized Pressure Water Tank Commercial Space with Toilets Basement Parking Reception Alfresco Dining Provision for Additional Toilets  The building is near prime food and entertainment establishments in the Scout area, as well as Entertainment/TV networks GMA and ABS-CBN. It is also strategically located with public transportation with jeepneys on Tomas Morato, Kamuning and E. Rodriguez Jr. roads.  Commercial Establishments Nearby: Hemady Square Seneca Plaza Creekside Square Robinsons Easymart  Hospitals Nearby: St. Luke’s Medical Center Capitol Medical Center, Inc. Dr. Jesus C. Delgado Memorial Hospital Providence Hospital  Access Roads: E. Rodriguez Sr. Avenue Doña Hemady Street Tomas Morato Avenue  For Direct Buyers only. For viewing schedule, pls schedule at least 1 day in advance.  For project presentation & property tour, contact: MICHELLE MADARANG Property Investment Expert Real Estate Broker No. 19349 PAREB-QCRB, Member BNI Elite, Member DMCI Homes Broker since 2012  “A home is where your story begins.”  Are you a first time property buyer who wants to know the ins & outs of investing in real estate? Are you looking to acquire your new family home? Are you looking to invest in real estate to grow your money? Do you have a property that you intend to sell or to lease out?  Let's talk.",N/A,N/A,5490,commercial,"commercial, building",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/new-commercial-building-for-sale-in-tomas-morato-q-171871531012/,CO667183AEE02EFPH,"121.0300173, 14.6288755",,N/A,False
"Building For Sale in Laging Handa, Quezon City, Metro Manila",198000000,"Laging Handa, Quezon City","Mixed-Use Commercial Office Building For Sale NEAR Timog Avenue and Tomas Morato in Laging Handa, Quezon City

Building Size: 1,712 square meters
Property Location: 56 Scout Castor Street, Q.C.
Year Built: 2017
Number of Floors: 4 Floors with covered Roof Deck
Property Type: Mixed-Use
Property sub-type: Multi-use
Parking Spaces:  8 + parking spaces
Lot Size: 401 square meters
Sale Type:  User or Investment

Property Details:
The building was constructed in mid-2017.

The property consists of 2 freight elevators with the capacity of 1000 kilos each on both sides of the building and 1 passenger elevator with the capacity of 8 passengers centrally located servicing floors 1 thru 5. Split-type air conditioning units and or ceiling mounted fan are installed throughout the property.

A 300 KVA diesel standby generator had been installed to service the building and an exterior propane gas tank storage area with gas lines servicing the 2nd. and 3rd. floors of the building are installed.

A centralized Security Cameras System with TV Monitors and a Bio Identification Reader on the ground floor together with PBX Phone System are installed throughout the building.
Some locations are wired for Ethernet access and other locations has WIFI access. The building maintains a climate control computer room.

We accept and/or negotiate with Agents/Brokers.

For more details please contact:
MS. AMIE MATAAC
MS. MEG MATIAS",N/A,N/A,1712,commercial,"commercial, building",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/mixed-use-commercial-office-building-for-sale-near-167271584596/,CO63B39E45A8C38PH,"121.032076, 14.632936",180,N/A,False
"Building For Sale in Fairview, Quezon City, Metro Manila",35000000,"Fairview, Quezon City","Loc: near Regalado Ave., Fairview, Quezon City 2 Stories 2 Water Tanks 4 Car Garage All Rooms have Toilet & Bath Electric sub-meters Total of 18 Dorm Units -3 Units on the Ground Floor -15 Units on the 2nd floor 1 Owner's Residential unit on the Ground Floor -Office room -2 Spacious Bedrooms (Walk-in Closet & Private Bath) -Clean & Dirty Kitchen -Living Area -Laundry Area 16 Units Leased Out Almost Php 120,000 Monthly Income Clean title Lot Area: 503 sq.m Floor Area: 800 sq.m Price: Php 35,000,000.00 Gross",N/A,N/A,800,commercial,"commercial, building",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/2-storey-dormitory-building-for-sale-in-fairview-q-173103570482/,CO672D8238A6B75PH,"121.06821, 14.702178",,N/A,False
