title,price,price_per_sqm,location,description,bedrooms,bathrooms,floor_area,floor_number,property_type,listing_url,agent_name,agency_name,latitude,longitude,facility_grill,facility_access_for_the_disabled,facility_security,facility_alarm,facility_built-in_wardrobe,facility_garden,facility_hot_tub,facility_roof_garden,facility_video_cable,facility_cistern,facility_tennis_court,facility_swimming_pool,facility_car_park,facility_sauna,facility_elevator,facility_office,facility_natural_gas,facility_panoramic_view,facility_guardhouse,facility_children's_area,facility_fireplace,facility_cellar,facility_heating,facility_utility_room,facility_library,facility_equipped_kitchen,facility_gym,facility_concierge,facility_terrace,facility_built-in_kitchen,facility_air_conditioning,facility_internet,facility_balcony,facility_electricity,facility_patio,facility_water
"1 Bedroom Condo for sale in The Crestmont, South Triangle, Metro Manila near MRT-3 Quezon Avenue","Php5,780,000.00","(₱ 175,152 / m2)",,"Quezon CityCondo1 bedroom unit for sale in SURE UNITGEt it as if at the LAUNCHED PRICE!!!near SOLAIRE RESORTQuezon City!!The Crestmont Sure facing AmenitiesPet FriendlyResort type AmentiesSurrounded by many Public TranspoMrt Station Q ave,Subway QC stationNorth Triangle Common StationMallsTrinomaSM north,Vertis NorthEton MallHotelsSeda Hotel,Solaire Resorts HotelHospitalsPhilippine Children's Hospital,Philippine...",1,1,33 m2,29,Condo,https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-sale-in-the-crestmont-south-triangle-metro-manila-near-mrt-3-quezon-avenue_1dd35619f653-2470-1332-e97c-7b607089,Heidy Cue,,14.642647,121.036691,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0
"1 Bedroom Condo for sale in The Crestmont, South Triangle, Metro Manila near MRT-3 Quezon Avenue","Php5,760,000.00","(₱ 174,545 / m2)",,"Quezon CityCondo1 bedroom unit for sale!! The Crestmont Sure Unit facing Amenities PET friendly, Resort Type AmenitiesSurrounded by many Public Transpo (Mrt Station Q ave, Subway QC station, North Triangle Common Station) Malls ( Trinoma, SM north, Vertis North, Eton Mall, )Hotels (Seda Hotel, Solaire Resorts Hotel).Hospitals (Philippine Children's Hospital, Philippine Heart Center, Lung Center of...",1,1,33 m2,29,Condo,https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-sale-in-the-crestmont-south-triangle-metro-manila-near-mrt-3-quezon-avenue_cc46dd081316-0521-e9a5-fa04-bdf6e1a3,Heidy Cue,,14.642647,121.036691,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0
"2 Bedroom Condo for sale in Marilag, Metro Manila near LRT-2 Anonas","Php5,900,000.00","(₱ 121,649 / m2)",,Infina Towers by DMCI Homes2 Bedroom with Parkingw/ Balcony Facing Amenities✅Pet Friendly✅Kids Safe Community✅Secured and Well Guarded Property✅Highly Recommended for Retirement HomeLocated Near to➡️Ateneo De Manila University➡️UP Diliman University➡️Araneta City➡️Eastwood City➡️Hightop Supermarket➡️World Citi MedFor Unit and Site Viewing Message me here,2,1,48.5 m2,31,Condo,https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-sale-in-marilag-metro-manila-near-lrt-2-anonas_0afb1dbd674f-1b6f-c5a8-4b43-940a6785,Kim Yu Almero,,14.6282201,121.0674028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"2 Bedroom Condo for sale in Marilag, Metro Manila near LRT-2 Anonas","Php8,400,000.00","(₱ 120,000 / m2)",,The Orianaby DMCI HomesLocated in Aurora BlvdQuezon CityNear toLRT2 Anonas StationWorld Citi MedNCBAADMUUP DilimanAnonnas Subway Station(SOON)Ready For ViewingAvailable Units2 Bedrooms 54 sqm to 70 sqmMonthly AmortizationStarts @ 15K Monthly for 2 Bedrooms Facing Antipolo Mt.Message for more details and Schedule of Site Visit,2,1,70 m2,7,Condo,https://www.dotproperty.com.ph/2-bedroom-condo-for-sale-in-marilag-metro-manila-near-lrt-2-anonas_9383035,Kim Yu Almero,,14.6283138,121.0684287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1 Bedroom Condo for sale in MANHATTAN GARDEN, Ramon Magsaysay, Metro Manila near LRT-1 Roosevelt","Php200,000.00","(₱ 3,636 / m2)",,𝐏𝐑𝐎𝐏𝐄𝐑𝐓𝐘 𝐈𝐍𝐕𝐄𝐒𝐓𝐌𝐄𝐍𝐓 𝐈𝐍 𝐐𝐔𝐄𝐙𝐎𝐍 𝐂𝐈𝐓𝐘𝐑𝐄𝐀𝐃𝐘 𝐅𝐎𝐑 𝐎𝐂𝐂𝐔𝐏𝐀𝐍𝐂𝐘 | 𝐑𝐄𝐍𝐓-𝐓𝐎-𝐎𝐖𝐍 | 𝐇𝐈𝐆𝐇 𝐀𝐈𝐑𝐁𝐍𝐁 𝐑𝐄𝐍𝐓𝐀𝐋 𝐑𝐀𝐓𝐄𝗣𝗥𝗢𝗝𝗘𝗖𝗧: Manhattan Heights- Araneta Coliseum 𝗣𝗥𝗢𝗠𝗢:...,1,1,55 m2,19,Condo,https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-sale-in-manhattan-garden-ramon-magsaysay-metro-manila-near-lrt-1-roosevelt_994c778208b3-2940-f882-ae32-82c56089,Richard E,,14.660386,121.02271,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
"2 Bedroom Condo for sale in The Crestmont, South Triangle, Metro Manila near MRT-3 Quezon Avenue","Php12,900,000.00","(₱ 195,455 / m2)",,CondoinQuezon City2br w parking slot Panay Ave near EDSA Quezon Ave The Crestmont by DMCI 2bedroom Korean Cut for sale!! Lower than Developer's PRice!!2bedroom Korean cut w parking slot57.50sqm + 8 sqm balcony =65.50 sqmAtrium level nice cut 2br type of unit.Price 12.9M All in!! (closing fees included and transfer)1 Highrise Building 50storey.8 elevatorsResort Type Amenites24/7 securityLocation...,2,1,66 m2,,Condo,https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-sale-in-the-crestmont-south-triangle-metro-manila-near-mrt-3-quezon-avenue_a2db06aa3b1d-d941-c992-e97b-6f5a8089,Heidy Cue,,14.642647,121.036691,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0
"2 Bedroom Condo for sale in Viera Residences, Obrero, Metro Manila","Php6,500,000.00","(₱ 118,182 / m2)",,"CondoinQuezon CityScout Tuazon near Tomas Morato Viera Residences by DMCIAtrium garden semi furnished(near ABS CBN,GMA 7, ST LUKES MEDICAL CENTER, CHRIST THE KING Trinoma, and SM North) At the back of Thompson square Tomas Morato2br (48sqm unit +7sqm balcony = 55) if need parking there is a parking slot (price not yet included). PET FriendlyCondoA Resort TypeCondoin Scout Tuazon near TIMOG, E...",2,1,55 m2,23,Condo,https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-sale-in-viera-residences-obrero-metro-manila_8f58a25e79fe-9ace-1662-073e-b0fb8089,Heidy Cue,,14.627892,121.032095,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1
"2 Bedroom Condo for sale in INFINA TOWERS, Marilag, Metro Manila near LRT-2 Anonas","Php5,900,000.00","(₱ 121,649 / m2)",,"Enjoy life in this amazing semi-furnished 2BR unit parking in Infina Towers, walking distance to LRT Station, UP, Ateneo, and Araneta Business Center.Enjoy refreshing amenities like swimming pools, a gym, a roof deck, and more in this proud DMCI project.Property ID: SC169𝗗𝗘𝗧𝗔𝗜𝗟𝗦North TowerBedrooms: 2Bathroom: 1Balcony: 1Floor Area: 48.5 sqm9th FloorSemi-furnished𝗦𝗘𝗟𝗟𝗜𝗡𝗚...",2,1,48.5 m2,9,Condo,https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-sale-in-infina-towers-marilag-metro-manila-near-lrt-2-anonas_49d410042082-943e-3cc2-915f-bab48089,Richard Tiu,,14.628471,121.067842,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0
"1 Bedroom Condo for sale in The Crestmont, South Triangle, Metro Manila near MRT-3 Quezon Avenue","Php5,760,000.00","(₱ 174,545 / m2)",,"Rush for Sale! BRAND NEW1brCondoinQuezon Citynear MRT Quezon Ave QC Circle Philippine Heart CenterQuezon CityCondo1 bedroom unit for sale with closing fees!! The Crestmont Sure Unit Brgy South Triangle Panay AveQuezon City.Besides MRT Quezon Ave Station and Subway Station.Pet Friendly.Facing AmenitiesSurrounded by many Public Transpo (Mrt Station Q ave, Subway QC station, North Triangle Common...",1,1,33 m2,29,Condo,https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-sale-in-the-crestmont-south-triangle-metro-manila-near-mrt-3-quezon-avenue_d0c61499aca8-9961-abb2-b900-c1867089,Heidy Cue,,14.642647,121.036691,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0
"5 Bedroom Condo for sale in Bagumbayan, Metro Manila","Php65,000,000.00","(₱ 217,391 / m2)",,"Imagine living in a spacious, luxurious 5-bedroom loft at Dream Residences by Nuvoland, where modern design meets the ultimate comfort. This stunning unit offers high ceilings and floor-to-ceiling windows, flooding the open-plan living area with natural light. Each bedroom provides privacy and relaxation, while the expansive master suite is a true retreat. Enjoy panoramic city views from your private...",5,4,299 m2,,Condo,https://www.dotproperty.com.ph/ads/5-bedroom-condo-for-sale-in-bagumbayan-metro-manila_41c9a1f56368-bf9f-8662-1322-dc086089,Kainne inocencio,,14.6050191,121.0810428,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
